customer_id,gender,age,city,registration_date,referral_source,device_type,kyc_completed
1,Male,49,Pune,2024-10-20,Ad,iOS,1
2,Female,53,Mumbai,2025-03-04,Ad,iOS,0
3,Male,54,Chennai,2025-03-26,Referral,iOS,1
4,Male,31,Hyderabad,2025-01-21,Referral,iOS,1
5,Male,44,Ahmedabad,2025-01-29,Organic,Android,0
6,Female,36,Delhi,2025-02-03,Referral,Android,1
7,Male,48,Kolkata,2025-02-25,Referral,iOS,1
8,Male,26,Mumbai,2025-03-06,Referral,iOS,0
9,Male,55,Mumbai,2024-10-10,Organic,Android,1
10,Female,34,Mumbai,2024-11-13,Ad,iOS,1
11,Male,36,Chennai,2025-03-10,Organic,iOS,1
12,Male,21,Pune,2024-11-01,Organic,iOS,0
13,Male,28,Bangalore,2024-12-14,Referral,iOS,1
14,Male,39,Kolkata,2025-03-24,Ad,Android,1
15,Female,21,Delhi,2025-03-25,Organic,iOS,1
16,Male,34,Kolkata,2025-03-09,Referral,Android,0
17,Female,25,Hyderabad,2025-02-05,Organic,Android,1
18,Female,51,Ahmedabad,2025-02-01,Referral,iOS,1
19,Female,28,Pune,2024-11-23,Ad,iOS,1
20,Male,48,Mumbai,2024-10-29,Ad,iOS,1
21,Female,28,Ahmedabad,2025-03-26,Referral,iOS,1
22,Male,55,Kolkata,2024-11-09,Organic,Android,1
23,Female,38,Chennai,2025-02-10,Organic,iOS,1
24,Female,47,Mumbai,2024-10-17,Ad,iOS,1
25,Female,27,Pune,2024-10-04,Organic,Android,1
26,Female,43,Hyderabad,2024-11-13,Referral,iOS,1
27,Female,44,Ahmedabad,2024-12-15,Referral,iOS,1
28,Female,25,Delhi,2025-02-04,Referral,Android,1
29,Female,56,Mumbai,2024-12-08,Ad,iOS,1
30,Female,25,Kolkata,2024-11-02,Ad,Android,1
31,Male,25,Kolkata,2025-01-20,Ad,iOS,0
32,Male,51,Ahmedabad,2025-03-31,Referral,Android,1
33,Female,33,Chennai,2025-02-20,Ad,Android,1
34,Female,58,Ahmedabad,2024-10-05,Referral,iOS,1
35,Female,30,Chennai,2024-12-14,Organic,Android,0
36,Male,40,Bangalore,2025-01-04,Ad,iOS,1
37,Female,29,Chennai,2025-01-20,Organic,iOS,1
