ticket_id,customer_id,ticket_date,issue_type,resolution_days,satisfaction_score
1,10915,2025-08-31,Payment Failed,4,2
2,10915,2025-07-25,Account Blocked,1,1
3,3927,2025-10-16,Refund Delay,6,2
4,7619,2025-06-07,KYC Issue,1,4
5,14812,2025-06-29,Payment Failed,6,2
6,14812,2025-08-20,Payment Failed,6,5
7,19137,2025-08-06,Payment Failed,6,2
8,19137,2025-04-21,Account Blocked,2,4
9,19171,2025-10-30,Payment Failed,3,3
10,14367,2025-08-15,Account Blocked,6,1
11,8324,2025-07-24,Payment Failed,4,4
12,9554,2025-10-24,Account Blocked,2,1
13,14243,2025-04-11,Account Blocked,2,4
14,12899,2025-05-22,Refund Delay,1,4
15,14443,2025-06-20,Payment Failed,5,5
16,18411,2025-10-15,Refund Delay,5,2
17,15033,2025-09-03,Payment Failed,1,3
18,15033,2025-06-22,Account Blocked,3,3
19,17507,2025-10-01,KYC Issue,5,1
20,17507,2025-08-14,Refund Delay,5,5
21,16525,2025-10-11,Refund Delay,6,5
22,12886,2025-07-09,Refund Delay,4,3
23,8712,2025-10-07,Refund Delay,7,4
24,8712,2025-07-20,Refund Delay,6,4
25,16377,2025-07-20,Refund Delay,4,1
26,16377,2025-09-26,KYC Issue,2,3
27,2536,2025-08-08,Payment Failed,1,1
28,12371,2025-05-09,Payment Failed,3,2
29,12371,2025-08-02,Refund Delay,4,3
30,3849,2025-08-27,Payment Failed,6,3
31,5656,2025-04-17,Payment Failed,7,2
32,18073,2025-08-22,Refund Delay,2,3
33,12588,2025-08-26,KYC Issue,4,1
34,12588,2025-10-01,Payment Failed,6,4
35,11415,2025-07-01,Refund Delay,3,2
36,6516,2025-10-15,KYC Issue,6,4
37,1940,2025-10-26,Payment Failed,2,5
38,5360,2025-09-14,Account Blocked,3,2
39,18851,2025-05-23,Refund Delay,7,1
40,392,2025-10-16,Account Blocked,1,3
41,14636,2025-05-01,Refund Delay,6,5
42,7689,2025-07-15,KYC Issue,7,3
43,7689,2025-08-03,Payment Failed,2,2
44,7073,2025-05-23,Payment Failed,2,1
45,11378,2025-10-24,KYC Issue,1,5
46,13898,2025-04-22,KYC Issue,4,2
47,13898,2025-10-29,Payment Failed,4,2
48,16126,2025-04-27,Payment Failed,2,3
49,16126,2025-06-29,Account Blocked,4,4
50,16249,2025-10-21,Payment Failed,1,4
51,2802,2025-05-29,KYC Issue,5,4
52,14195,2025-05-18,Account Blocked,2,5
53,14195,2025-09-15,Account Blocked,6,2
54,512,2025-08-28,Refund Delay,6,5
55,512,2025-09-20,Payment Failed,4,2
56,18188,2025-07-14,Refund Delay,7,1
57,18188,2025-08-03,KYC Issue,5,2
58,7728,2025-04-12,Refund Delay,3,1
59,16640,2025-08-05,Payment Failed,1,5
60,13693,2025-06-23,KYC Issue,2,5
61,2468,2025-08-07,Refund Delay,4,1
62,2468,2025-07-27,Refund Delay,4,1
63,12762,2025-06-03,Refund Delay,7,2
64,19005,2025-04-23,Refund Delay,6,1
65,9873,2025-05-01,Payment Failed,2,2
66,12329,2025-09-26,Payment Failed,7,4
67,16554,2025-09-10,Refund Delay,7,2
68,16554,2025-07-16,Account Blocked,5,1
69,1277,2025-07-24,Refund Delay,2,4
70,1277,2025-09-20,Account Blocked,1,5
71,2121,2025-05-20,Account Blocked,5,1
72,2944,2025-06-28,Refund Delay,4,5
73,2944,2025-09-14,Refund Delay,7,1
74,8054,2025-07-09,Account Blocked,1,3
75,19767,2025-09-14,Account Blocked,5,3
76,19767,2025-06-15,Payment Failed,2,3
77,13242,2025-04-23,KYC Issue,2,4
78,13242,2025-05-25,KYC Issue,6,1
79,4216,2025-07-09,Refund Delay,1,5
80,12312,2025-06-08,Refund Delay,1,5
81,5837,2025-07-26,KYC Issue,5,3
82,5837,2025-09-13,KYC Issue,1,5
83,13245,2025-07-04,Account Blocked,4,1
84,10731,2025-09-01,Account Blocked,7,3
85,10731,2025-04-19,Refund Delay,1,2
86,7777,2025-05-04,Refund Delay,2,5
87,7777,2025-04-25,Payment Failed,1,2
88,13907,2025-08-19,KYC Issue,2,3
89,13907,2025-04-07,Account Blocked,1,3
90,19455,2025-05-31,Account Blocked,5,4
91,19455,2025-08-20,Account Blocked,5,2
92,18605,2025-08-11,Account Blocked,3,5
93,19296,2025-10-20,Payment Failed,3,2
94,19296,2025-08-18,Account Blocked,1,5
95,14264,2025-04-13,Account Blocked,2,2
96,19374,2025-05-15,KYC Issue,7,2
97,19374,2025-10-04,Payment Failed,6,2
98,14828,2025-07-20,Refund Delay,7,1
99,818,2025-08-30,Account Blocked,2,2
100,11254,2025-04-21,Payment Failed,5,3
101,12504,2025-06-22,Refund Delay,7,4
102,12504,2025-09-05,Refund Delay,6,1
103,2039,2025-08-18,Account Blocked,4,4
104,15271,2025-06-18,KYC Issue,7,1
105,15271,2025-05-18,Payment Failed,6,4
106,552,2025-09-06,Refund Delay,5,3
107,552,2025-10-17,Account Blocked,3,1
108,8251,2025-05-05,Account Blocked,4,1
109,8251,2025-04-19,KYC Issue,7,4
110,10304,2025-07-08,Payment Failed,2,3
111,10304,2025-09-19,KYC Issue,3,2
112,2329,2025-04-05,Refund Delay,5,3
113,2329,2025-09-02,Payment Failed,2,1
114,12538,2025-08-09,Payment Failed,6,3
115,12538,2025-10-16,Payment Failed,4,3
116,15328,2025-04-17,Account Blocked,5,2
117,15328,2025-08-14,Account Blocked,2,4
118,3112,2025-07-01,Refund Delay,7,3
119,10567,2025-05-19,Account Blocked,7,4
120,1388,2025-10-03,Account Blocked,6,2
121,13728,2025-10-08,Payment Failed,6,1
122,19961,2025-10-15,Payment Failed,5,5
123,14079,2025-04-17,Refund Delay,3,3
124,4245,2025-06-01,KYC Issue,7,2
125,7430,2025-06-29,Payment Failed,4,2
126,7430,2025-06-13,Payment Failed,2,2
127,15312,2025-05-17,Account Blocked,1,4
128,12277,2025-06-07,KYC Issue,1,5
129,11850,2025-08-03,KYC Issue,1,4
130,11850,2025-10-11,KYC Issue,5,3
131,7076,2025-07-17,Refund Delay,5,5
132,16267,2025-07-22,KYC Issue,3,3
133,16267,2025-10-17,Payment Failed,2,4
134,7628,2025-07-05,KYC Issue,7,3
135,12908,2025-07-08,KYC Issue,6,2
136,12908,2025-04-14,KYC Issue,1,4
137,16800,2025-10-02,Account Blocked,4,2
138,16800,2025-05-12,Account Blocked,4,1
139,9893,2025-08-26,KYC Issue,2,2
140,9893,2025-10-19,KYC Issue,3,4
141,11808,2025-08-01,Refund Delay,2,3
142,9356,2025-08-11,Refund Delay,1,1
143,14071,2025-04-17,Payment Failed,1,2
144,15726,2025-05-31,KYC Issue,1,4
145,13178,2025-05-25,Payment Failed,1,4
146,13178,2025-09-17,Refund Delay,5,1
147,19278,2025-06-19,KYC Issue,6,1
148,19278,2025-08-08,Account Blocked,5,1
149,18230,2025-09-20,Account Blocked,2,5
150,18230,2025-04-04,Account Blocked,7,3
151,18490,2025-06-20,KYC Issue,4,5
152,18490,2025-07-13,Account Blocked,1,2
153,15510,2025-08-31,Payment Failed,5,3
154,15510,2025-04-08,KYC Issue,3,2
155,5347,2025-08-14,Refund Delay,4,2
156,18283,2025-05-16,Account Blocked,1,2
157,18283,2025-09-23,Payment Failed,3,5
158,19525,2025-05-23,KYC Issue,6,3
159,19525,2025-05-21,Refund Delay,5,2
160,18768,2025-07-01,Account Blocked,6,1
161,18768,2025-07-30,Payment Failed,4,3
162,5742,2025-09-15,Refund Delay,1,2
163,5742,2025-09-05,KYC Issue,3,4
164,13449,2025-05-15,Refund Delay,3,4
165,13449,2025-09-14,Refund Delay,7,5
166,10571,2025-05-16,Refund Delay,4,5
167,12404,2025-07-30,Payment Failed,4,4
168,12404,2025-07-10,Payment Failed,4,2
169,15804,2025-09-10,Account Blocked,1,1
170,15804,2025-10-21,Account Blocked,7,4
171,3559,2025-07-09,KYC Issue,2,1
172,5970,2025-09-25,Account Blocked,3,3
173,12062,2025-05-25,Refund Delay,6,5
174,19140,2025-07-24,Payment Failed,6,1
175,19140,2025-08-30,Account Blocked,4,2
176,126,2025-10-01,KYC Issue,4,4
177,126,2025-08-06,Account Blocked,6,1
178,1698,2025-10-09,Account Blocked,3,4
179,1698,2025-07-22,Payment Failed,4,5
180,689,2025-07-15,Payment Failed,7,3
181,689,2025-10-12,KYC Issue,3,3
182,10455,2025-05-12,KYC Issue,5,5
183,5960,2025-07-07,Payment Failed,1,5
184,11807,2025-08-06,Refund Delay,4,1
185,11273,2025-05-06,Account Blocked,3,3
186,10554,2025-05-10,KYC Issue,3,5
187,10554,2025-08-09,Payment Failed,3,4
188,16777,2025-09-29,Account Blocked,7,1
189,16777,2025-07-03,KYC Issue,6,2
190,14536,2025-05-10,Payment Failed,4,5
191,14536,2025-10-28,KYC Issue,7,4
192,17784,2025-09-06,Account Blocked,3,3
193,10333,2025-05-01,Account Blocked,1,3
194,10333,2025-10-30,Account Blocked,1,1
195,13996,2025-07-29,KYC Issue,5,5
196,3935,2025-05-09,Refund Delay,7,4
197,3935,2025-08-31,Payment Failed,4,5
198,14903,2025-10-23,Account Blocked,5,3
199,7895,2025-06-02,KYC Issue,6,2
200,7895,2025-05-05,Payment Failed,1,3
201,5310,2025-09-11,Payment Failed,2,2
202,5310,2025-05-03,KYC Issue,3,3
203,14625,2025-05-04,Payment Failed,6,3
204,3763,2025-06-16,Refund Delay,2,5
205,12292,2025-09-27,Payment Failed,3,5
206,12292,2025-06-04,Account Blocked,3,2
207,18444,2025-09-15,KYC Issue,3,2
208,2863,2025-07-02,KYC Issue,6,1
209,2741,2025-10-20,Refund Delay,7,4
210,16609,2025-10-13,Account Blocked,1,4
211,16609,2025-09-22,Payment Failed,1,2
212,17345,2025-09-05,KYC Issue,7,5
213,17345,2025-05-25,Payment Failed,4,1
214,1402,2025-10-05,Account Blocked,5,1
215,1402,2025-08-16,Payment Failed,4,4
216,15809,2025-10-26,Account Blocked,4,4
217,15809,2025-10-04,Account Blocked,4,2
218,2333,2025-08-11,KYC Issue,1,4
219,2333,2025-08-30,Account Blocked,1,3
220,13492,2025-06-23,KYC Issue,7,1
221,13492,2025-06-05,Payment Failed,7,1
222,13169,2025-05-21,Refund Delay,6,1
223,13169,2025-10-13,KYC Issue,5,3
224,12076,2025-06-04,Payment Failed,3,1
225,12076,2025-10-15,Refund Delay,5,3
226,16989,2025-04-03,Refund Delay,7,4
227,16989,2025-09-29,Account Blocked,4,3
228,6982,2025-09-14,KYC Issue,2,1
229,16972,2025-07-11,Refund Delay,6,1
230,17016,2025-06-14,Payment Failed,3,4
231,17016,2025-04-09,Payment Failed,5,3
232,9422,2025-06-24,Account Blocked,1,4
233,9422,2025-08-08,Account Blocked,7,3
234,19586,2025-10-15,KYC Issue,3,3
235,19586,2025-05-27,Payment Failed,2,4
236,13442,2025-09-05,Refund Delay,7,4
237,8351,2025-06-14,Account Blocked,1,4
238,8351,2025-06-21,Account Blocked,7,5
239,3425,2025-08-13,Refund Delay,1,2
240,3039,2025-07-08,Refund Delay,5,1
241,3039,2025-05-16,Payment Failed,3,1
242,17029,2025-06-18,Account Blocked,4,5
243,17029,2025-07-14,Account Blocked,3,3
244,11928,2025-07-01,Payment Failed,1,2
245,8637,2025-06-25,Payment Failed,6,2
246,8637,2025-10-24,Payment Failed,2,1
247,3043,2025-08-18,Refund Delay,6,1
248,3043,2025-07-30,Payment Failed,7,5
249,19114,2025-09-22,KYC Issue,3,4
250,19114,2025-05-28,Refund Delay,4,5
251,5745,2025-09-28,Payment Failed,7,4
252,5745,2025-04-24,KYC Issue,4,1
253,10138,2025-06-10,KYC Issue,3,3
254,10138,2025-10-27,Payment Failed,6,2
255,11194,2025-07-09,Account Blocked,2,3
256,774,2025-07-13,Refund Delay,1,1
257,774,2025-06-17,Account Blocked,4,2
258,9652,2025-04-07,Payment Failed,5,4
259,9652,2025-05-28,Payment Failed,1,1
260,2748,2025-04-27,Account Blocked,1,5
261,2748,2025-07-09,Payment Failed,1,1
262,6600,2025-07-09,Account Blocked,7,2
263,15071,2025-04-20,Account Blocked,2,1
264,15071,2025-04-16,Refund Delay,1,1
265,957,2025-06-05,Payment Failed,6,5
266,3441,2025-04-28,Payment Failed,5,2
267,1129,2025-10-03,Refund Delay,6,4
268,3440,2025-05-23,Refund Delay,5,1
269,10506,2025-08-17,Account Blocked,1,3
270,12905,2025-08-28,KYC Issue,5,2
271,12905,2025-09-05,KYC Issue,3,5
272,9234,2025-09-25,Refund Delay,3,1
273,9234,2025-06-11,Refund Delay,1,3
274,15324,2025-04-25,Account Blocked,5,3
275,15324,2025-04-12,Payment Failed,4,5
276,4060,2025-08-11,Refund Delay,6,2
277,4060,2025-07-20,Payment Failed,3,1
278,12791,2025-05-09,Refund Delay,2,2
279,17814,2025-09-19,Account Blocked,4,4
280,17814,2025-05-06,Payment Failed,1,1
281,13698,2025-08-16,KYC Issue,5,5
282,133,2025-09-16,KYC Issue,7,3
283,6759,2025-09-08,Account Blocked,3,4
284,6759,2025-06-05,Refund Delay,7,5
285,2337,2025-06-13,Account Blocked,3,4
286,2337,2025-06-28,Account Blocked,4,3
287,15009,2025-10-30,Account Blocked,5,5
288,15009,2025-08-15,Payment Failed,2,1
289,6616,2025-09-08,Refund Delay,7,5
290,6616,2025-04-30,Payment Failed,7,5
291,5004,2025-08-27,Refund Delay,6,5
292,5004,2025-07-03,KYC Issue,2,2
293,12684,2025-05-11,Refund Delay,3,5
294,12684,2025-07-24,Payment Failed,7,5
295,16076,2025-04-21,KYC Issue,2,5
296,12320,2025-06-17,Refund Delay,2,2
297,1859,2025-10-22,Payment Failed,2,3
298,1859,2025-06-13,KYC Issue,3,5
299,7717,2025-07-06,KYC Issue,2,3
300,7717,2025-04-21,Account Blocked,5,2
301,9015,2025-04-17,Refund Delay,3,5
302,15697,2025-09-02,Refund Delay,4,2
303,15697,2025-08-15,Refund Delay,6,4
304,736,2025-06-16,Refund Delay,6,4
305,7250,2025-05-08,KYC Issue,6,3
306,2321,2025-10-23,Refund Delay,3,3
307,2321,2025-09-22,Refund Delay,7,2
308,3021,2025-10-17,KYC Issue,7,2
309,2639,2025-09-15,KYC Issue,3,4
310,2639,2025-10-12,Refund Delay,1,4
311,14419,2025-06-02,Refund Delay,5,5
312,14419,2025-05-25,KYC Issue,4,1
313,7308,2025-05-24,Payment Failed,7,3
314,7434,2025-09-30,KYC Issue,1,5
315,17341,2025-04-24,Payment Failed,5,3
316,17341,2025-04-21,Account Blocked,5,4
317,14280,2025-08-08,Payment Failed,5,5
318,14280,2025-07-04,Payment Failed,6,5
319,7723,2025-06-11,Account Blocked,7,5
320,9646,2025-08-02,Account Blocked,7,5
321,13255,2025-07-24,Payment Failed,4,1
322,13255,2025-05-30,Account Blocked,4,5
323,12491,2025-05-05,Refund Delay,2,1
324,12491,2025-08-27,Payment Failed,1,5
325,18198,2025-09-28,Payment Failed,6,3
326,18198,2025-07-03,Refund Delay,1,5
327,6805,2025-06-24,Refund Delay,7,2
328,2419,2025-06-23,Account Blocked,5,2
329,2419,2025-07-17,KYC Issue,1,2
330,5897,2025-09-10,KYC Issue,5,2
331,3327,2025-10-01,Payment Failed,7,1
332,15249,2025-06-24,Payment Failed,3,5
333,1387,2025-10-05,Refund Delay,4,1
334,1387,2025-10-09,KYC Issue,3,4
335,369,2025-05-01,Payment Failed,7,3
336,369,2025-06-03,Payment Failed,2,3
337,606,2025-09-24,Refund Delay,6,3
338,18622,2025-06-12,Payment Failed,2,1
339,18622,2025-04-05,Refund Delay,2,1
340,8099,2025-07-07,KYC Issue,2,3
341,15250,2025-07-29,Refund Delay,6,5
342,15250,2025-05-19,KYC Issue,5,1
343,12155,2025-10-04,KYC Issue,6,1
344,18389,2025-08-22,Account Blocked,5,1
345,12402,2025-08-27,Refund Delay,3,3
346,12402,2025-08-04,Payment Failed,1,2
347,6790,2025-06-23,Refund Delay,7,2
348,17704,2025-06-08,Payment Failed,3,5
349,17704,2025-04-11,Refund Delay,4,1
350,12083,2025-04-19,Account Blocked,4,5
351,14427,2025-07-09,KYC Issue,5,4
352,14427,2025-04-22,Refund Delay,7,5
353,12425,2025-06-30,KYC Issue,7,3
354,12382,2025-10-20,Account Blocked,7,5
355,12382,2025-05-02,Account Blocked,1,2
356,7752,2025-06-15,KYC Issue,7,2
357,7752,2025-10-11,Account Blocked,6,4
358,1818,2025-10-25,Account Blocked,4,1
359,1818,2025-04-16,Refund Delay,2,5
360,11939,2025-05-24,Payment Failed,5,2
361,14365,2025-09-04,Account Blocked,4,1
362,1431,2025-06-14,Payment Failed,1,2
363,1431,2025-10-02,Refund Delay,4,3
364,8714,2025-05-28,Refund Delay,1,3
365,6082,2025-09-17,Account Blocked,4,2
366,6082,2025-06-10,KYC Issue,7,4
367,6525,2025-06-01,KYC Issue,6,1
368,6525,2025-10-28,Payment Failed,4,3
369,11950,2025-07-08,Payment Failed,2,2
370,3198,2025-06-28,Account Blocked,5,2
371,3198,2025-06-24,Account Blocked,5,2
372,3630,2025-06-09,Refund Delay,1,5
373,9010,2025-06-17,Refund Delay,2,2
374,9010,2025-04-27,Account Blocked,6,2
375,817,2025-08-09,KYC Issue,6,2
376,817,2025-06-21,Account Blocked,3,1
377,10570,2025-05-09,KYC Issue,4,2
